text,label,standard
adım canan. ayhan soyadım. bubamın adı sülüyman sorıyosan. ben mi. doksan yedi. maşalla.,Ağız,"Adım Canan, soyadım Ayhan. Babamın adı Süleyman. Ben mi? Doksan yedi yaşındayım, maşallah."
bir iki üç dört beş altı yeddi sekkiz dokuz on. bi dene ta soraza on bir. ayarlıyamadı bi aleti.,Ağız,"Bir, iki, üç, dört, beş, altı, yedi, sekiz, dokuz, on; bir tane daha sorarsan on bir. Aleti ayarlayamadı."
benim dedem bu köye gelmese işte davun varmış evelden bi davun diye bi magluvat gibi bi şey gelür ögüne geleni öldürürmüş.,Ağız,"Benim dedem bu köye gelmeseymiş, burada önceden ""davun"" diye bir mahlukat varmış, geleni öldürürmüş."
vaktıkebirden bunnar beşikdüzünden gaçıylar. üç gardaş gaçıylar gelürler kellik giresuna geliyler.,Ağız,"Vakfıkebir’den, Beşikdüzü’nden kaçarlarmış. Üç kardeş kaçıp Kelik Giresun’a gelmişler."
buranın adını birhane yapıyler birhane. maksusdan gonşunun biri de yapıyku burhaniye. niye birhane oluyi diyii burhaniye diyii.,Ağız,Buranın adını Birhane koymuşlar. Komşunun biri de özellikle Burhaniye yapmış. “Niye Birhane oluyor?” diye sorana “Burhaniye” derlermiş.
menüm dayım babamla askerlik iderimiş. benim de babamın garısı ferj olmuş hasta olmuş yatarmış.,Ağız,"Benim dayım babamla askerlik yapmış. Babamın karısı felç olmuş, hasta yatıyormuş."
yatakanık diyuku dayıma beni diyiu nolur diyii bacınla everi mısın diyii.,Ağız,"Yataktan kalkamayan babam, dayıma “Ne olur, bacınla evlenir misin?” dermiş."
şey de diyiku dayım benim dedem babam diyii çok kötü diyii.,Ağız,"Dayım da “Benim dedem, babam çok kötü” dermiş."
hacı dedem yedi kere hacca gitmiş benim büyük dedem. annemin bobası. sen diyii alamazsın diyii. tabi babam gaçıyığı.,Ağız,"Hacı dedem, yani annemin babası, yedi kere hacca gitmiş. “Sen alamazsın” demiş. Babam da kaçmış."
u camın önünde bi bahçada armud ağacı varmış. armudun dibinde diyii ben beklerim diyii halime diyii uriya gelsin.,Ağız,"Caminin önünde bir bahçede armut ağacı varmış. “Armut ağacının dibinde beklerim” demiş, “Halime oraya gelsin” demiş."
benim anamın adı haliime. halime diyii uriya gelsin.,Ağız,Annemin adı Halime. “Halime oraya gelsin” demiş.
uriya bobam unu gaçuriyi alıp eve getüremiyi. garısı evde ya.,Ağız,"Babam onu oradan kaçırıp eve getirememiş, çünkü karısı evdeymiş."
üç dene dört dene de hızanı varmış evde. garı hasta yatıyi.,Ağız,"Evde üç dört tane de kızı varmış, karısı hasta yatıyormuş."
yıldıağı derler bi orman var arkaöze ormana götüriyi. ormanda om beş gün ormanda duriyilar.,Ağız,"Yıldıağı denilen bir orman var, onu oraya götürmüşler. Ormanda on beş gün durmuşlar."
sayvan yapıylar ormane muşamba çekiyler kapadiyler.,Ağız,Ormana sayvan yapıp üstünü muşamba ile kapatmışlar.
yapıyılar ormane muşamba çekiyler gapadiyler.,Ağız,Ormana muşamba çekip kapatıyorlardı.
şey dedem arıyı bulamıyi.,Ağız,Dedem arıyı bulamamış.
öteki arıyı beriki ariyi.,Ağız,"Biri öteki arıyı, biri beriki arıyı."
eyle gine işte eve getiriyi annem de ölüyü öteki annem.,Ağız,"Böylece eve getiriyorlar, annem de ölmüş, öteki annem."
üvey anne ölüyi.,Ağız,Üvey anne de ölmüş.
işte öyle gine hızanlıg olu yi.,Ağız,İşte öyle yine üvey annelik olmuş.
om bir dene hızanı olu yi anamın benim anamın.,Ağız,"O bir tane üvey anne olmuş annemin, benim annemin."
om bir çocuk hepisi allah rahmet eylesin sizlere ömür bi tek beni bırakıy.,Ağız,"O bir çocuk, hepsi Allah rahmet eylesin, geriye bir tek beni bıraktı."
babam iki buçuk yaşımdıyıka öldü anam on dört yaşımdıyıka öldü.,Ağız,"Babam iki buçuk yaşımdayken öldü, annem on dört yaşımdayken öldü."
çocuklum işte bele camilerde şey okunuydu guran gursları oluydu gurana gidiydug okuydüg e öyle.,Ağız,"Çocukluğum işte böyle geçti, camilerde Kur’an kursları olurdu, Kur’an’a giderdik, okurduk, öyleydi."
habu şey mekteplerine gidemedi m hiç.,Ağız,Bu okullara hiç gidemedim.
unnarı bilemiyuk.,Ağız,Onları bilemiyoruz.
okume yazma yok.,Ağız,Okuma yazma yoktu.
okul yok köylerde u zamanda okul ne gezidu.,Ağız,"O zaman köylerde okul yoktu, okul bulunmazdı."
köye seni menim gibi bi öğretmen yollıy lardı.,Ağız,Köye benim gibi bir öğretmen gönderirlerdi.
"a b ç d, e öyle yazdruyulardı bize ha o gada biliyük.",Ağız,"“A, B, Ç, D, E” yazdırırlardı bize, işte o kadar biliyorduk."
inek yaymile dana yaymile gapıda bacada çalışmiyile gazele gitmiyile oduna gitmiyile bölelile geldim geşdim.,Ağız,"İnek yaymakla, dana yaymakla, kapıda bacada çalışmakla, gazele gitmekle, oduna gitmekle böylece geldim geçtim."
ne gördüm. teknide ekmek görmedim çorbada gazan çorba yemeğ görmedim gazan yimeğ görmedim.,Ağız,"Ne gördüm? Teknede ekmek görmedim, tencerede çorba görmedim, yemek görmedim."
yetimlikle geldim gejdim. iki dene gardaşım vardı.,Ağız,Yetimlikle geldim geçtim. İki kardeşim vardı.
"severbirlik geldi ajlık senesi geldi. yavşu yo, pancar yok, mendek yok, sırgan yok.",Ağız,"Seferberlik geldi, kıtlık senesi geldi. Yavşu yok, pancar yok, mendek yok, ısırgan yok."
sırf tarlanın otlarını yol gazana guy bişür.,Ağız,Sırf tarlanın otlarını yolup tencereye koyup pişir.
yarma yok un yok içine guymıya.,Ağız,"Yarma yok, un yok, içine koymaya."
südile bi ineğmiz vardı sağıyuduk südile bişirüydük.,Ağız,"Sütlü bir ineğimiz vardı, sağardık, sütlü yemek pişirirdik."
öyle zaman geçidüm. çok yetimlile böyüdüm ben. çok yoksuzluğla ajlığıla.,Ağız,"Öyle zaman geçirdim. Çok yetimlikle büyüdüm ben. Çok yoksullukla, açlıkla."
bi bebeğmiz varıdı e böle gardişimin bi bebeğ.,Ağız,"Bir bebeğimiz vardı, öyle kardeşimin bir bebeği."
e bele değermende iki tene yarma mısır bulsak çekiyduk unu tavada ekmek yapiyduk çocuğa yidirüyduk hani ya.,Ağız,"Öyle değirmende iki tane yarma mısır bulsak öğütürdük, unu tavada ekmek yapar, çocuğa yedirirdik hani ya."
biz kesmüg ekmeğe fındık ekmekleri habu fındıkları daldan toplayip gavuruyduk değermende un edip ha o ekmeği yiyidük.,Ağız,"Biz kesmüg ekmeğine fındık ekmekleri, bu fındıkları daldan toplayıp kavururduk, değirmende un edip o ekmeği yerdik."
öyle yiyidük.,Ağız,Öyle yerdik.
kesmüg varıdı mısır kesmügleri üdene derük kesmüg.,Ağız,"Kesmüg vardı, mısır kesmügleri yapana derdik kesmüg."
ha onları eziyidük ezib değermene yollıydık un yapıp ha onlarla geçiniyidük.,Ağız,"Onları ezer, değirmene yollardık, un yapıp onlarla geçinirdik."
öyle ajlık senesi çekdim. çok çekdim u sene.,Ağız,Öyle kıtlık senesi çektim. Çok çektim o sene.
üj dörd sene.,Ağız,Üç dört sene.
soya fasillesi yidiriydü zoya.,Ağız,Soya fasulyesi yedirirdi.
soya fasillesi de nasil oluydu.,Ağız,Soya fasulyesi de nasıl olurdu.
eve getürüyüduk saca guysan sacdan döküliydu yemeğe olmiydu bi şiy olmiydu.,Ağız,"Eve getirirdik, saca koysan sacdan dökülürdü, yemeğe bir şey olmazdı."
ekmek yapiyduk göya unu.,Ağız,Sözde ekmek yapardık unundan.
kokudan yinnmiydi.,Ağız,Kokudan yenmezdi.
balsuk gini.,Ağız,Balçık gibi.
arpa aliylardı bi kilo arpa veriylardı şeylerde kütneli derlerdi bi adam vardı.,Ağız,"Arpa alırlardı, bir kilo arpa verirlerdi, köylerde ‘kütneli’ derlerdi, bir adam vardı."
ha o adamdan hambardan birer külu fasille aludu birer külu şey fasille birer külu arpa birer külu mısır veriydu ha onnarı üğüdüp ha öyle geçindük.,Ağız,"O adamdan ambarından birer kile fasulye alır, birer kile başka fasulye, birer kile arpa, birer kile mısır verirdi, onları öğütür, öyle geçinirdik."
gaç sene tarlalarımızda darlalarımızda hep hırbaliylardı.,Ağız,Kaç sene tarlalarımızı darılarımızı hep hırpaladılar.
"tarla eksek toplayılardı hil giçe kimin aldığı belli olmuydu hırsızlar, eşkyalar.",Ağız,"Tarla ekseği toplarlardı, gece kimin aldığı belli olmazdı; hırsızlar, eşkıyalar."
bir kereni bi yimek yapdım yimeğinde içerisinde gurt gitmiş.,Ağız,"Bir keresinde yemek yaptım, yemeğin içinde kurt çıkmış."
seçememişim eyi.,Ağız,İyi seçememişim.
ben taha yimiyim gözüm gördü.,Ağız,"Ben daha yemiyim dedim, gözüm gördü."
emme unu yüdürücem unnara.,Ağız,Ama onu yedireceğim onlara.
yi diyler bağa.,Ağız,“Ye” dediler bana.
yimiyim ben diyim.,Ağız,“Yemeyeyim ben” dedim.
ben gurt var içinde gurt çıktı yüreğim galkiyi.,Ağız,"İçinde kurt var, kurt çıktı, yüreğim kalktı."
yiyecksin yiyecksin ahır da yimiyye başladım.,Ağız,"Yiyeceksin, yiyeceksin, sonunda da yemeye başladım."
gorkumdan uşak beni düver diyi.,Ağız,Korkumdan çocuk beni döver diye.
ya öyle yiğenim sağa ne anladıym dünyanın şeyini çektim.,Ağız,"Ya öyle yeğenim, sağken ne anladıysam dünyanın sıkıntısını çektim."
doksan yaşıma geldim emme doksan dedimise artık ilersini söylemiyim.,Ağız,"Doksan yaşıma geldim, ama doksan dediysem artık ilerisini söylemeyeyim."
geldim emme o hayatla geldim.,Ağız,"Geldim, ama o hayatla geldim."
ben evlenmemde yirmi yaşında varıdım.,Ağız,Ben evlendiğimde yirmi yaşındaydım.
nası mı evlendim.,Ağız,Nasıl mı evlendim?
a o çocuğ aa u çucuğa anlattım demin.,Ağız,Az önce o çocuğa anlattım.
asgerliğe gitti.,Ağız,Askerliğe gitti.
isteme yok.,Ağız,İsteme (kız isteme merasimi) olmadı.
bunnar bi gave açdılar çayocağ ulu y ya şimdik.,Ağız,"Bunlar bir kahve açtılar, çayocağı olur ya şimdi."
çayocağ açdılar benim abimile barabar urdan bize gidip gelüken bağa havas etmiş.,Ağız,"Kahve açmışlar, benim abimle beraber oradan bize gidip gelirken bana heves etmiş."
gaviye çayocağna suyu ben daşıyim ha unnara.,Ağız,Kahvehaneye suyu ben taşıyordum onlara.
İşte suyu ben daşıyim ha.,Ağız,İşte suyu ben taşıyordum.
zeten gendi de yakışuqlıydı şimdi söylemesi ayıp.,Ağız,"Zaten kendi de yakışıklıydı, şimdi söylemesi ayıp."
has deliganlıydı.,Ağız,Tam delikanlıydı.
bak u da güliyi gendine.,Ağız,Bak o da gülüyor kendi kendine.
işte ben da havas ettim besbellim genjlik var.,Ağız,"İşte ben de ona ilgi duydum, belli ki gençlik var."
"şimdi gızlar nası anlaşıb da evleniyi, biz annaşmadık öyle.",Ağız,"Şimdi kızlar nasıl anlaşıp evleniyor, biz öyle anlaşmadık."
yani öyle konuşma yok.,Ağız,Yani öyle konuşma yoktu.
emme işde öle arada aracı oldi işde.,Ağız,Ama işte öyle arada aracı oldu.
tabiiğ.,Ağız,Tabii.
sevmezen alu musun.,Ağız,Sevmeden alır mısın?
altı sene bekledim.,Ağız,Altı sene bekledim.
ne zamandı ben tarihleri çok bilemiyim da.,Ağız,"Ne zamandı, ben tarihleri çok bilemiyorum da."
okuryazar olsam dünyayı sökerim de hiç onnarı bilmiyim.,Ağız,Okuryazar olsam dünyayı çözerim de hiç onları bilmiyorum.
öyleyim.,Ağız,Öyleyim.
altı sene durdum yedinci seniyi evlendim.,Ağız,"Altı sene bekledim, yedinci sene evlendim."
başlık parasını çarşda gumara veriyi doğru burdan zonguldağa gaçiyi para gazanmiya.,Ağız,"Başlık parasını çarşıda kumara verip, buradan Zonguldak’a kaçıp para kazanmaya gitmiş."
kırk lira.,Ağız,Kırk lira.
kırk liriyi şimdi bi çocuğa versen almi yu.,Ağız,Kırk lirayı şimdi bir çocuğa versen almaz.
güneş atdı.,Ağız,Güneş battı.
güneş de beni yaki yi benim güzelliğim gidiyi. fındık geliyi unnar gezip dolaşıp gelene gada fındığı satı yiğ kırk liriyi veriy lar başlık parası düğün yapiliy u. ,Ağız,"Güneş de beni yakıyordu, güzelliğim gidiyordu. Fındık gelince, unları gezip dolaşıp gelene kadar fındığı satıyor, kırk lirayı veriyorlar, başlık parasıyla düğün yapılıyordu. "
u zaman mutluydık. sonriya doğru bırak artuk soğrasını sorma.,Ağız,O zaman mutluyduk. Sonraya doğru artık sonrasını sorma.
öleceğ gece benile helalaşmak istedi. helalaşdı ağaş amdan. dedi ki seğine helalaşalım dedi.,Ağız,"Öleceği gece benimle helalleşmek istedi. Akşamdan helalleşti. “Gel, helalleşelim” dedi."
niye dedim. böyle böyle dedi ben didi çocuğum ölmüydü daydı dedi sağa söylemedim dedi.,Ağız,"“Niye?” dedim. “Böyle böyle” dedi, “Benim çocuğum olmuyordu” dedi, “Sana söylemedim” dedi."
dedi ki sen meni bırakur diyin söylemedim dedi.,Ağız,"Dedi ki, “Sen beni bırakırsın diye söylemedim” dedi."
hakkı yi helal et bağa dedi. hepisini helal ederim dedim beni dövdün dedim helal etmem dedim.,Ağız,"“Hakkını helal et bana” dedi. “Hepsini helal ederim, ama beni dövdün, helal etmem” dedim."
beni çok dövdün dedim. guma r oynadın da dedim.,Ağız,“Beni çok dövdün” dedim. “Kumar oynadın da” dedim.
hiç helal etmem hakkımın sağa dedim. etmiycem hem de dedim.,Ağız,"“Hiç helal etmem, hakkımı sana” dedim. “Etmeyeceğim hem de” dedim."
ed etme derke. ben de dedi sağa hakkımı helal etmem dedi.,Ağız,"“Etme” derken, “Ben de sana hakkımı helal etmem” dedi."
ben de dedim bağa eğer hakkını helal edersen helal ederim dedim.,Ağız,"Ben de dedim, “Bana eğer hakkını helal edersen, ben de helal ederim” dedim."
etmiyim dedi. etmiycen ben de etmiyim.,Ağız,"“Etmeyeceğim” dedi. “Etmeyeceksen, ben de etmeyeyim” dedim."
ediydün etmiyidün derken. emme yarın öldü herif.,Ağız,"Ediyordun, etmiyordun derken, ertesi gün öldü herif."
edmidiyün dirken dedim ki ediyim dedi i ben de ettim ölüyse hakkımı ha u zamana gada helalaşmadık.,Ağız,"Etmiyordun derken, “Edeyim” dedi, ben de ettim. Ölmüşse hakkımı o zamana kadar helalleşmedik."
"ha o son gece helalaşduk unila öyle, ya.",Ağız,"İşte o son gece helalleştik, öyle yani."
sabah oldu gapı başladı ben çok rahatsızlaştım.,Ağız,"Sabah oldu, kapı çalmaya başladı, ben çok rahatsızlaştım."
gapıları aç beni gapıya bırak.,Ağız,"“Kapıları aç, beni kapıya bırak” dedim."
pencereyi aç gapiyi aç derken habu yeğenim geldi yi bize.,Ağız,"“Pencereyi aç, kapıyı aç” derken işte o zaman yeğenim geldi bize."
dedi ki enişte ne oldun dedi böyle böyle dedim çoh hasta oldi bu dedim.,Ağız,"“Enişte, ne oldu?” dedi. “Böyle böyle” dedim, “Çok hasta oldu bu” dedim."
divanları yere bıraktuk öldü.,Ağız,"Divanları yere bıraktık, öldü."
bi yetim çocuk vardı bobasını öldüdüleridi hanaşıkle.,Ağız,"Bir yetim çocuk vardı, babasını öldürmüşlerdi, kavga yüzünden."
bi kız aldım böyüttüm.,Ağız,"Bir kız aldım, büyüttüm."
on altı on yedi yaşında evlendüdüm.,Ağız,On altı-on yedi yaşında evlendim.
iki dene gızım va biri yirmi yaşında biri on dört yaşında.,Ağız,"İki tane kızım var, biri yirmi yaşında, biri on dört yaşında."
torunum var iki dene.,Ağız,İki tane torunum var.
giresında okiylar.,Ağız,Giresun’da okuyorlar.
yaşlılıın ne oldunu bilmesziğiz.,Ağız,Yaşlılığın ne olduğunu bilmiyoruz.
şimdi bilmesziğiz.,Ağız,Şimdi de bilmiyoruz.
bigün bacağnız ağrır biğun başıgız ağrır biğun sırtınız ağrır biğun golunuz ağrur.,Ağız,"Bir gün bacağınız ağrır, bir gün başınız ağrır, bir gün sırtınız ağrır, bir gün kolunuz ağrır."
bi doktura gidersin geliüsün bi iğne yirsin bilmem ne yaparsın u zaman bu golun dutmaz olu bazan başın ağrır beynin dutmaz olu.,Ağız,"Bir doktora gidersin, gelirsin, bir iğne yersin, bilmem ne yaparsın; o zaman bu kolun tutmaz olur, bazen başın ağrır, beynin tutmaz olur."
öğle öğle öğle öğle boyna yükseliyi.,Ağız,"Öyle öyle, giderek yükselir."
gademe gademe gademe yaşlaniysun.,Ağız,Adım adım yaşlanıyorsun.
"beniç yaşlanurum diyin aklıma bi kere gelmezdi, ülüüm aklıma gelmezdi.",Ağız,"Ben yaşlanırım diye aklıma bir kere gelmezdi, ölüm aklıma gelmezdi."
şimdi her saat her dakka ölüm ağzımda.,Ağız,"Şimdi her saat, her dakika ölüm aklımda."
her zaman içimden geçiyi.,Ağız,Her zaman içimden geçiriyorum.
ölecem falan zaman ölürüm filan zaman ölürüm.,Ağız,"“Öleceğim” falan zaman, “Ölürüm” filan zaman derim."
böyelyi düşünüyüm.,Ağız,Böyle düşünüyorum.
u zamanda da nerde oyniycam nerde düğüne gidcem nerde çalışmiya gidcem böyle hengamdayidik.,Ağız,"O zamanlarda da nerede oynayacağım, nerede düğüne gideceğim, nerede çalışmaya gideceğim belli olmayan bir telaş içindeydik."
hengam diyim ben una.,Ağız,Buna “hengame” diyeyim ben.
şimdi de yaşlandukça günden güne günden güne artık saayım saatimi dakkamı.,Ağız,"Şimdi de yaşlandıkça, günden güne artık saatimi, dakikamı sayıyorum."
yatarka okuyum üflüyüm yatıyım.,Ağız,"Yatarken dua okur, üflerim, yatarım."
acab hangi saatte galkarım.,Ağız,Acaba hangi saatte kalkarım?
allaha yavlarıyimgi ya rasullallah bana öleceğim saatleri bildür allahım.,Ağız,"Allah’a yalvarıyorum ki, “Ya Rasulallah, bana öleceğim saatleri bildir Allah’ım.”"
hani hangı saatta öleceğmi.,Ağız,Hangi saatte öleceğimi.
