text,label,standard
"Break the ice","deyim","Ortamı yumuşatmak"
"Hit the nail on the head","deyim","Tam üstüne basmak"
"Bite the bullet","deyim","Dişini sıkmak"
"Let the cat out of the bag","deyim","Ağzından baklayı çıkarmak"
"Burn the midnight oil","deyim","Sabaha kadar çalışmak"
"The ball is in your court","deyim","Top sende"
"Kill two birds with one stone","deyim","Bir taşla iki kuş vurmak"
"A blessing in disguise","deyim","Her işte bir hayır vardır"
"Don’t cry over spilled milk","deyim","Ölenle ölünmez"
"Every cloud has a silver lining","deyim","Her şerde bir hayır vardır"
"Actions speak louder than words","deyim","Lafla peynir gemisi yürümez"
"Add fuel to the fire","deyim","Yangına körükle gitmek"
"Back to square one","deyim","En başa dönmek"
"Beat around the bush","deyim","Lafı dolandırmak"
"Better late than never","deyim","Geç olsun güç olmasın"
"By the book","deyim","Kitabına göre yapmak"
"Caught red-handed","deyim","Suçüstü yakalanmak"
"Costs an arm and a leg","deyim","El yakar"
"Cut corners","deyim","Kestirmeden gitmek"
"Devil’s advocate","deyim","Şeytanın avukatlığını yapmak"
"Don’t put all your eggs in one basket","deyim","Tek bir dala güvenme"
"Face the music","deyim","Cezasını çekmek"
"Give someone the cold shoulder","deyim","Yüz vermemek"
"Go the extra mile","deyim","Elinden geleni ardına koymamak"
"Hit the sack","deyim","Kafayı vurup yatmak"
"In hot water","deyim","Başını derde sokmak"
"Jump on the bandwagon","deyim","Rüzgar nereden eserse oraya dönmek"
"Keep your chin up","deyim","Başını dik tutmak"
"Let sleeping dogs lie","deyim","Eski defterleri açmamak"
"Miss the boat","deyim","Treni kaçırmak"
"Once in a blue moon","deyim","Kırk yılda bir"
"Out of the blue","deyim","Beklenmedik anda"
"Piece of cake","deyim","Çocuk oyuncağı"
"Pull someone’s leg","deyim","Birini işletmek"
"Put your money where your mouth is","deyim","Sözünün arkasında durmak"
"Raining cats and dogs","deyim","Bardaktan boşanırcasına yağmak"
"See eye to eye","deyim","Aynı frekansta olmak"
"Sit on the fence","deyim","Kararsız kalmak"
"Speak of the devil","deyim","İti an çomağı hazırla"
"Steal someone’s thunder","deyim","Başkasının ekmeğine yağ sürmek"
"Take it with a grain of salt","deyim","İhtiyatla yaklaşmak"
"The early bird catches the worm","deyim","Erken kalkan yol alır"
"Throw in the towel","deyim","Havlu atmak"
"Under the weather","deyim","Keyfi kaçmak"
"Up in the air","deyim","Askıda kalmak"
"When pigs fly","deyim","Balık kavağa çıkınca"
"You can’t judge a book by its cover","deyim","Dış görünüş aldatıcıdır"
"Your guess is as good as mine","deyim","Ben de senin kadar biliyorum"
"Zip your lip","deyim","Ağzını sıkı tut"
"A leopard can’t change its spots","deyim","Can çıkar huy çıkmaz"
"Barking up the wrong tree","deyim","Yanlış kapı çalmak"
"Bite off more than you can chew","deyim","Altından kalkamayacağı işe girişmek"
"Break a leg","deyim","Şeytanın bacağını kırmak"
"Call it a day","deyim","Bugünlük bu kadar"
"Chew the fat","deyim","Boş boğazlık yapmak"
"Come rain or shine","deyim","Ne olursa olsun"
"Cry wolf","deyim","Çoban yalanı söylemek"
"Cut the mustard","deyim","Beklentileri karşılamak"
"Don't count your chickens before they hatch","deyim","Dereyi görmeden paçaları sıvama"
"Every dog has its day","deyim","Herkesin bir yıldızı parlar"
"Get out of hand","deyim","İş çığırından çıkmak"
"Give it a whirl","deyim","Bir denemek"
"Go cold turkey","deyim","Bıçağı keser gibi kesmek"
"Have a change of heart","deyim","Fikri değişmek"
"Hold your horses","deyim","Dur bakalım"
"In the same boat","deyim","Aynı gemide olmak"
"It's a no-brainer","deyim","Düşünmeye gerek yok"
"Keep your eyes peeled","deyim","Gözünü dört açmak"
"Knowledge is power","deyim","Bilgi güçtür"
"Let's agree to disagree","deyim","Farklı fikirde olalım"
"Let the chips fall where they may","deyim","Ne olursa olsun"
"Look before you leap","deyim","Bin düşün bir söyle"
"Make a long story short","deyim","Uzun lafın kısası"
"No pain, no gain","deyim","Acı yoksa kazanç da yok"
"Off the hook","deyim","Kancadan kurtulmak"
"On the same page","deyim","Aynı fikirde olmak"
"Once bitten, twice shy","deyim","Sütten ağzı yanan yoğurdu üfleyerek yer"
"Out of sight, out of mind","deyim","Gözden ırak olan gönülden de ırak olur"
"Penny for your thoughts","deyim","Aklından ne geçiyor"
"Practice makes perfect","deyim","Tekrar, bilginin anasıdır"
"Pull yourself together","deyim","Toparlanmak"
"Put all your eggs in one basket","deyim","Tüm yumurtaları aynı sepete koymak"
"Rome wasn't built in a day","deyim","Roma bir günde kurulmadı"
"Saved by the bell","deyim","Son anda kurtulmak"
"See eye to eye","deyim","Aynı fikirde olmak"
"Speak of the devil","deyim","İti an çomağı hazırla"
"Spill the beans","deyim","Sırrı açıklamak"
"Take it with a grain of salt","deyim","İhtiyatlı olmak"
"The last straw","deyim","Son damla"
"The sky's the limit","deyim","Hayal gücü sınır tanımaz"
"There's no place like home","deyim","Evim evim güzel evim"
"Time flies when you're having fun","deyim","Vakit su gibi akar"
"To make matters worse","deyim","Tuzu biberi olmak"
"Twist someone's arm","deyim","Birini zorlamak"
"Under the table","deyim","Gizli saklı"
"You can't have your cake and eat it too","deyim","Hem pastam dursun hem karnım doysun"
"You can't teach an old dog new tricks","deyim","Yaşlı köpeğe yeni numara öğretilemez"
"When in Rome, do as the Romans do","deyim","Roma'dayken Romalılar gibi davran"
"Where there's smoke, there's fire","deyim","Ateş olmayan yerden duman çıkmaz"
As you make your bed you lie on it,deyim, Kendi düşen ağlamaz
An apple a day keeps the doctor away,deyim, Güneş girmeyen eve doktor girer
A defeated wrestler never tires of wrestling again,deyim, Yenilen pehlivan güreşe doymaz
A leopard can’t change its spots,deyim, Huylu huyundan vazgeçmez
Action ‌speak ‌louder ‌than ‌words,deyim, Lafla peynir gemisi yürümez
An ‌empty ‌vessel ‌makes ‌much ‌noise,deyim, Boş teneke çok tıngırdar
A ‌rolling ‌stone ‌gathers ‌no ‌moss,deyim, Yuvarlanan taş yosun tutmaz
As ‌you ‌sow ‌so ‌you ‌shall ‌reap,deyim, Ne ekersen onu biçersin
An over-protected eye gets the speck,deyim, Sakınılan göze çöp batar
A hard nut to crack,deyim, Çetin ceviz
A perfect storm,deyim, Mükemmel fırtına
A piece of cake,deyim, Çocuk oyuncağı
A storm in a teacup,deyim, Küçük bir sorunu büyütmek
As cold as stone,deyim, Buz gibi soğuk
As right as rain,deyim, Tamamen doğru
As genuine as a three-dollar bill,deyim, Sahte
A couch potato,deyim, Miskin
A smart cookie,deyim, Zekâ küpü
A bad apple,deyim, Çürük elma
Bad news travels fast,deyim, Kötü haber tez duyulur
Blood is thicker than water,deyim, Et tırnaktan ayrılmaz
Better late than never,deyim, Geç olsun güç olmasın
Birds of a feather flock together,deyim, Tencere yuvarlanmış kapağını bulmuş
Blow off steam,deyim, İçini dökmek
Break the bank,deyim, El yakmak
Bring home the bacon,deyim, Evi geçindirmek
Be in hot waters,deyim, Hapı yutmak
Break the ice,deyim, Havayı yumuşatmak
Between a rock and a hard place,deyim, İki arada bir derede kalmak
Beat around the bush,deyim, Lafı eveleyip gevelemek
Barking up the wrong tree,deyim, Olmayacak duaya âmin demek
"Born with a silver spoon in one’s mouth",deyim, "Doğuştan zengin, varlıklı, şanslı olmak"
Burn bridges,deyim, Köprüleri yıkmak
Break even,deyim, Ne kar ne zarar etmek
Bread and butter,deyim, Ekmek teknesi
Buy a lemon,deyim, Külüstüre para vermek
Cheats never prosper,deyim, Yalancının mumu yatsıya kadar yanar
Clothes do not make the man,deyim, Kürk ile börk ile adam olunmaz
Cut to the chase,deyim, Lafı dolandırmamak
Calm before the storm,deyim, Fırtına öncesi sessizlik
Chasing rainbow,deyim, hayal peşinde koşmak
Come rain or come shine,deyim, ne olursa olsun
Comparing apples to oranges,deyim, Karşılaştırması doğru olmayan iki şeyin kıyaslanması
Cool as a cucumber,deyim, Sakin ve soğukkanlı olmak
Costs an arm and a leg,deyim, Pahalıya mal olmak
Cut the mustard,deyim, iyi iş çıkarmak
Castle in the sky,deyim, Hayal
Clear as mud,deyim, Arapsaçı gibi
Don’t count your chickens before they hatch,deyim, Dereyi görmeden paçaları sıvama
Do not search for a calf under a bull,deyim, Öküz altında buzağı aranmaz
Don’t put off tomorrow what you can do today,deyim, Bugünün işini yarına bırakma
Don’t beat a dead horse,deyim, Boşa kürek çekmek
Down to earth,deyim, Ayakları yere basan
Eat like a bird,deyim, Kuş kadar yemek
Eat like a horse,deyim, Öküz gibi yemek
Every cloud has a silver lining,deyim, Her işte bir hayır vardır
Easy come easy go,deyim, Haydan gelen huya gider
Elephant in the room,deyim, Gün gibi ortada
Fortune favors the brave,deyim, Şans cesurdan yanadır
First come first served,deyim, Erken kalkan yol alır
Face the music,deyim, Ceremesini çekmek
Find your feet,deyim, Ayak uydurmak
Fit as a fiddle,deyim, Turp gibi olmak
Food for thought,deyim, Düşündürücü şey
Go up in the air,deyim, Sinirden küplere binmek
